Nationality,A,B-1,B-2,"B-1,2","B-1,2 / BCC",C,C-1/D,CW,D,E,F,G,H,I,J
Poland,445.0,178.0,3.0,4797.0,0.0,7.0,2166.0,0.0,0.0,224.0,810.0,147.0,510.0,87.0,3259.0
Portugal,146.0,58.0,1.0,1634.0,0.0,3.0,1786.0,0.0,0.0,4.0,684.0,160.0,351.0,32.0,711.0
Qatar,953.0,2.0,4.0,5510.0,0.0,9.0,36.0,0.0,0.0,0.0,199.0,110.0,2.0,0.0,41.0
Romania,399.0,422.0,2.0,22964.0,0.0,30.0,3496.0,0.0,0.0,114.0,342.0,200.0,1309.0,36.0,5202.0
Russia,568.0,39.0,21.0,29822.0,0.0,2.0,1948.0,0.0,5.0,62.0,3433.0,859.0,649.0,64.0,1678.0
Rwanda,203.0,38.0,28.0,1391.0,0.0,12.0,7.0,0.0,0.0,0.0,459.0,82.0,58.0,2.0,132.0
Saint Kitts and Nevis,11.0,1.0,2.0,1649.0,0.0,6.0,7.0,0.0,0.0,0.0,77.0,12.0,14.0,0.0,10.0
Saint Lucia,17.0,8.0,1.0,1715.0,0.0,22.0,309.0,0.0,0.0,0.0,69.0,9.0,20.0,0.0,19.0
Saint Vincent and the Grenadines,29.0,167.0,23.0,958.0,0.0,12.0,222.0,0.0,0.0,0.0,41.0,10.0,5.0,0.0,9.0
Samoa,17.0,4.0,16.0,320.0,0.0,26.0,108.0,0.0,0.0,0.0,5.0,22.0,0.0,0.0,39.0
San Marino,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0
Sao Tome and Principe,7.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,6.0
Saudi Arabia,5507.0,25.0,6.0,37307.0,0.0,0.0,0.0,0.0,773.0,0.0,7131.0,301.0,228.0,2.0,811.0
Senegal,205.0,3.0,2.0,2993.0,0.0,12.0,0.0,0.0,61.0,1.0,276.0,299.0,29.0,18.0,141.0
Serbia,139.0,66.0,5.0,9075.0,0.0,27.0,1869.0,0.0,1.0,179.0,1004.0,66.0,1801.0,23.0,752.0
Seychelles,13.0,7.0,0.0,63.0,0.0,0.0,14.0,0.0,0.0,0.0,11.0,22.0,1.0,0.0,9.0
Sierra Leone,226.0,23.0,202.0,1941.0,0.0,7.0,3.0,0.0,1.0,0.0,188.0,274.0,2.0,0.0,67.0
Singapore,1261.0,27.0,0.0,635.0,0.0,4.0,2164.0,0.0,0.0,53.0,1868.0,135.0,1755.0,20.0,984.0
Slovakia,201.0,52.0,1.0,420.0,0.0,0.0,59.0,0.0,0.0,58.0,238.0,83.0,94.0,13.0,1181.0
Slovenia,55.0,2.0,0.0,258.0,0.0,2.0,48.0,0.0,0.0,18.0,98.0,84.0,39.0,2.0,177.0
Solomon Islands,10.0,0.0,0.0,24.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,17.0,4.0,0.0,8.0
Somalia,36.0,3.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,29.0,0.0,0.0,4.0
South Africa,486.0,296.0,20.0,25475.0,0.0,74.0,3636.0,0.0,3.0,33.0,1550.0,480.0,12091.0,29.0,2965.0
South America,,,,,,,,,,,,,,,
South Sudan,139.0,2.0,1.0,86.0,0.0,1.0,0.0,0.0,0.0,0.0,71.0,195.0,0.0,0.0,43.0
Spain,538.0,159.0,2.0,3120.0,0.0,5.0,1191.0,0.0,0.0,1682.0,5603.0,564.0,1129.0,280.0,13567.0
Sri Lanka,380.0,41.0,2.0,7469.0,0.0,106.0,904.0,0.0,0.0,19.0,1041.0,106.0,262.0,0.0,238.0
Sudan,96.0,108.0,0.0,2081.0,0.0,1.0,2.0,0.0,19.0,0.0,291.0,192.0,89.0,3.0,153.0
Suriname,79.0,0.0,0.0,5587.0,0.0,69.0,8.0,0.0,0.0,0.0,18.0,35.0,7.0,0.0,51.0
Sweden,1156.0,32.0,8.0,1338.0,0.0,12.0,637.0,0.0,0.0,413.0,2060.0,307.0,235.0,116.0,1883.0
Switzerland,311.0,61.0,7.0,2337.0,0.0,11.0,781.0,0.0,0.0,281.0,2030.0,276.0,171.0,62.0,1438.0
Syria,9.0,12.0,2.0,3285.0,0.0,0.0,13.0,0.0,0.0,2.0,243.0,153.0,52.0,8.0,118.0
Taiwan,2.0,30.0,1.0,6398.0,0.0,2.0,2611.0,0.0,0.0,3298.0,7175.0,18.0,1518.0,65.0,2231.0
Tajikistan,65.0,0.0,0.0,1224.0,0.0,0.0,0.0,0.0,5.0,0.0,83.0,104.0,25.0,2.0,182.0
Tanzania,457.0,37.0,2.0,4151.0,0.0,16.0,68.0,0.0,2.0,0.0,711.0,366.0,50.0,5.0,355.0
Thailand,1534.0,196.0,167.0,41259.0,0.0,44.0,1976.0,3.0,1.0,313.0,2997.0,155.0,376.0,43.0,9355.0
Timor-Leste,68.0,4.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,58.0,0.0,0.0,45.0
Togo,160.0,3.0,0.0,1015.0,0.0,18.0,0.0,0.0,9.0,1.0,101.0,96.0,9.0,0.0,42.0
Tonga,21.0,0.0,3.0,227.0,0.0,4.0,2.0,0.0,0.0,0.0,17.0,8.0,0.0,0.0,98.0
Trinidad and Tobago,138.0,24.0,4.0,23325.0,0.0,74.0,324.0,0.0,0.0,12.0,560.0,94.0,147.0,3.0,219.0
Tunisia,494.0,12.0,10.0,4138.0,0.0,5.0,523.0,0.0,1.0,8.0,561.0,65.0,61.0,2.0,360.0
Turkey,679.0,45.0,3.0,49389.0,0.0,4.0,4400.0,1.0,1.0,288.0,3367.0,593.0,1466.0,80.0,10425.0
Turkmenistan,19.0,11.0,0.0,408.0,0.0,0.0,12.0,0.0,0.0,0.0,265.0,29.0,72.0,2.0,81.0
Tuvalu,21.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0
Uganda,394.0,13.0,2.0,5220.0,0.0,38.0,0.0,0.0,59.0,0.0,944.0,476.0,73.0,12.0,266.0
Ukraine,395.0,276.0,503.0,18763.0,0.0,16.0,2664.0,0.0,2.0,88.0,1422.0,173.0,1769.0,23.0,1174.0
United Arab Emirates,1417.0,3.0,10.0,13262.0,0.0,1.0,0.0,0.0,261.0,0.0,486.0,118.0,4.0,2.0,54.0
United Nations Laissez-Passer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0
Uruguay,219.0,20.0,1.0,18995.0,0.0,8.0,79.0,0.0,0.0,8.0,173.0,87.0,126.0,9.0,229.0
Uzbekistan,347.0,9.0,1.0,7478.0,0.0,5.0,307.0,0.0,0.0,0.0,1098.0,125.0,53.0,5.0,1315.0
Vanuatu,20.0,1.0,0.0,85.0,0.0,6.0,0.0,0.0,0.0,1.0,2.0,19.0,0.0,0.0,2.0
Vatican City,19.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0
Venezuela,17.0,46.0,10.0,27196.0,0.0,10.0,572.0,0.0,0.0,39.0,1114.0,170.0,299.0,30.0,335.0
Vietnam,703.0,49.0,122.0,77659.0,0.0,109.0,1775.0,0.0,0.0,23.0,12491.0,444.0,639.0,61.0,927.0
Yemen,69.0,12.0,2.0,1839.0,0.0,3.0,20.0,0.0,1.0,0.0,468.0,146.0,12.0,1.0,66.0
Zambia,217.0,5.0,4.0,2696.0,0.0,26.0,73.0,0.0,0.0,2.0,224.0,293.0,12.0,3.0,131.0
Zimbabwe,115.0,15.0,0.0,3898.0,0.0,2234.0,0.0,0.0,2392.0,1.0,981.0,524.0,123.0,5.0,534.0
